location_id,battery_level,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup,charging_station_id
42,258.94499675637667,idle,,ee848deb-8303-47b0-a551-1abe757d2cc7,2024-01-31T23:47:17.077932099,2024-01-31 23:28:50.077932099,87601598-33ba-4867-9e47-9b354e1fb5b9
196,133.84168703835115,idle,,4e1bcb36-1082-4654-bb16-a17dd895e623,2024-01-31T23:30:43.360819037,2024-01-31 23:00:45.360819037,ee35a847-7dac-4487-ae3e-307f4e6fdd36
33,213.19185309782085,en_route_to_client,7d550070-63d8-41fb-95bc-6d9766a3830b,ae74f59c-5df0-4a0f-a355-53768a981609,2024-02-01T00:36:58.314039409,2024-02-01 00:04:34.314039409,df2485a8-3dc2-4bf0-b4b1-9e3e5f5cd576
249,90.19426272461197,en_route_with_client,23a0f293-a930-4b32-9c89-1a47906a9679,a0b4859e-fb64-4e70-8d2b-6a88b82a5e25,2024-02-01T00:15:06.939865215,2024-01-31 23:36:39.939865215,9a37de92-dae8-457b-ae7c-cf4f4cbd0d4f
164,191.97615259336715,en_route_to_client,90e93be4-2d05-40eb-8418-533a56482d60,94e7cdcf-e9dc-4e86-8f5f-5cc92e6ab94b,2024-02-01T00:17:55.465987512,2024-02-01 00:06:01.465987512,e7f1d79f-d1d0-454e-8ddb-8f55a05da6ba
42,194.8370519895307,charging,,62e02288-a3d8-46b2-b535-02864e8d72b9,2024-01-31T21:02:12.019571295,2024-01-31 20:48:50.019571295,1b05c654-7818-4d1b-9e54-fe6e7c4756ba
66,268.626793532752,en_route_to_client,d26da3e8-a993-4b0f-a566-1c763d8feaaf,f9803fe1-7759-4875-a342-cbd7cca7e1ba,2024-02-01T00:26:11.550329257,2024-02-01 00:05:08.550329257,5838384b-7a15-4977-bda7-e070aee0c126
102,117.31057960151861,en_route_with_client,ae97581e-8e22-42f6-85da-336740978e82,c6efaf13-19c5-455b-aa0a-676375c31b7e,2024-02-01T00:03:38.542635659,2024-01-31 23:41:07.542635659,ee35a847-7dac-4487-ae3e-307f4e6fdd36
186,82.68359912393808,en_route_with_client,3e50b65b-bb44-453c-bec2-b7d5964e20cb,1da9d2cf-6281-4b14-9ecf-75dd08e16b5a,2024-02-01T00:02:31.559139785,2024-01-31 23:26:38.559139785,68039f5e-8a2b-429c-9838-4162a59a5a6e
132,233.61966567957086,en_route_with_client,fe1bcb1d-0814-425d-9e2e-8c8f96e14cf4,d8801668-b592-4cd3-86ca-ae382be94bec,2024-02-01T00:01:13.696630877,2024-01-31 23:50:28.696630877,0429b05d-f60e-4942-9327-e1ec7ea62a52
