location_id,status,current_trip_id,car_id,eta_to_dropoff,eta_to_pickup
134,idle,,3297c0b8-add0-4125-aa47-9286b1004894,2024-01-31T21:30:51.696630877,2024-01-31 21:16:28.696630877
37,idle,,dc2fe415-22b6-49a1-b9bd-a49823c6e42c,2024-01-31T21:20:12.061418392,2024-01-31 21:10:25.061418392
141,idle,,12dc0552-7e8f-4e81-ac41-6e3977c2b34c,2024-01-31T21:25:18.273715415,2024-01-31 21:18:47.273715415
238,idle,,b5984942-c995-439b-89ca-88fd08f0beea,2024-01-31T21:21:49.830142180,2024-01-31 20:57:37.830142180
141,idle,,eab6b7ed-e5c9-4887-bd55-486413b23715,2024-01-31T21:27:18.292163543,2024-01-31 21:15:29.292163543
161,idle,,7ca09c98-1d38-4cc5-abb5-2ea5bb5cdefd,2024-01-31T21:27:30.534965035,2024-01-31 21:06:18.534965035
152,idle,,1fec2ec4-8515-4085-879f-2fb8f47acb6e,2024-01-31T21:26:20.215034965,2024-01-31 20:57:59.215034965
231,idle,,5802e4d7-7461-42c9-bc26-45f97eedf2c3,2024-01-31T21:16:46.102240896,2024-01-31 20:54:40.102240896
71,idle,,a91d5822-d98e-40b5-9155-cf1f481c2507,2024-01-31T21:33:28.262118491,2024-01-31 21:18:52.262118491
129,idle,,e3bc5610-0b1a-451a-861f-39edb0525e90,2024-01-31T21:21:39.299628702,2024-01-31 21:09:27.299628702
48,idle,,b3738298-f40e-4b4d-924c-74309c9d8240,2024-01-31T21:52:40.686915888,2024-01-31 21:10:09.686915888
7,idle,,42c40156-da31-448f-8a28-9b6a7c9a5bd0,2024-01-31T21:23:56.765491822,2024-01-31 21:07:14.765491822
124,idle,,325ec65e-b71e-4270-b4b3-dbdc6ce019c6,2024-01-31T21:14:13.952635128,2024-01-31 20:53:54.952635128
181,idle,,4da03898-4708-42f6-9703-1afa3cd7fda6,2024-01-31T21:20:23.376368946,2024-01-31 20:40:29.376368946
71,idle,,f12c2531-5925-4687-80df-93d2799b2b67,2024-01-31T21:14:03.588141026,2024-01-31 20:47:12.588141026
138,idle,,b50ad038-4481-478a-96d9-469503973b93,2024-01-31T21:26:10.564378848,2024-01-31 21:04:11.564378848
127,idle,,78d17c83-f4cb-4e73-85e1-d65eb60e7280,2024-01-31T21:25:38.333333333,2024-01-31 21:14:55.333333333
258,idle,,ad8307a8-21c3-43ca-8a3c-efc7c4e3740a,2024-01-31T21:22:23.483016051,2024-01-31 21:13:42.483016051
53,idle,,10135337-4d7a-4cc3-89de-9422ae9bac44,2024-01-31T21:16:39.800700414,2024-01-31 21:06:46.800700414
65,idle,,73482990-443c-4336-81c1-6d1cd202c933,2024-01-31T21:17:21.287325677,2024-01-31 21:04:52.287325677
78,idle,,6eeec441-a5ce-4654-a59b-bb519f75f239,2024-01-31T21:33:19.820661357,2024-01-31 21:17:15.820661357
202,idle,,27b89d40-af05-4e30-99f5-fc2f44c7cfa5,2024-01-31T21:45:05.867878983,2024-01-31 21:15:06.867878983
76,idle,,5e1e4549-7cdb-4383-85b4-d38c1ac07cc7,2024-01-31T21:16:11.751579422,2024-01-31 21:06:04.751579422
49,idle,,32e23de3-7937-4a79-afd0-4ba4493be5bc,2024-01-31T21:24:07.275106313,2024-01-31 21:05:56.275106313
265,idle,,80c214b1-e472-4bc5-bffc-48f4ffecb8ca,2024-01-31T21:33:17.923312883,2024-01-31 21:08:22.923312883
76,idle,,e0a2c925-e620-4522-b591-fdd94ab35714,2024-01-31T21:23:09.293557242,2024-01-31 20:58:26.293557242
208,idle,,fe9f1bc9-0e60-4545-aff8-9172d1162e8d,2024-01-31T21:19:53.000000000,2024-01-31 21:02:25.000000000
42,idle,,6ac9ee82-67c2-4da7-a1f3-6649dccc6a36,2024-01-31T21:45:08.572829819,2024-01-31 21:22:45.572829819
145,idle,,0d37a00d-bdfe-4bcb-8fad-6d424c9656fd,2024-01-31T21:51:08.498581963,2024-01-31 21:23:40.498581963
258,idle,,e4477cdd-d868-4766-9079-a4a42d7daf8d,2024-01-31T21:22:05.514403292,2024-01-31 21:06:33.514403292
263,idle,,589a094a-e81a-479f-ae12-1b76d81b83f7,2024-01-31T21:20:57.133688061,2024-01-31 21:14:26.133688061
60,idle,,20f8ed1d-2113-4c4b-80c3-551600082edb,2024-01-31T21:23:40.244222361,2024-01-31 21:12:59.244222361
22,idle,,169baf05-6139-4c9e-9843-16983d080450,2024-01-31T21:15:59.304283165,2024-01-31 20:53:24.304283165
189,idle,,4c79eee7-3f18-4bfa-93d9-fec0fff822df,2024-01-31T21:40:30.681081081,2024-01-31 21:19:42.681081081
238,idle,,8d61cd11-ef5d-4ec9-9479-470c45beb527,2024-01-31T21:25:44.245792315,2024-01-31 21:11:32.245792315
70,idle,,ad4108b5-96de-4b06-954d-daeb6cf85ae0,2024-01-31T21:44:19.060176125,2024-01-31 21:23:48.060176125
144,idle,,54f7ff62-616d-45ac-9684-ce00c8041ff1,2024-01-31T21:27:54.603571429,2024-01-31 21:20:11.603571429
229,idle,,c5d93329-6181-47aa-b9ff-e95cdc087d5d,2024-01-31T21:18:44.182645206,2024-01-31 21:03:02.182645206
130,idle,,e45eedcd-0a58-4a69-b82f-c9a86910a349,2024-01-31T21:13:54.373106061,2024-01-31 21:05:36.373106061
255,idle,,d8fa7e8c-32a0-47ec-85a0-7d0aef52fca8,2024-01-31T21:16:04.912634876,2024-01-31 20:56:10.912634876
243,idle,,74fde11e-835b-40aa-8a79-6c31c1b3924a,2024-01-31T21:23:19.621938232,2024-01-31 20:56:43.621938232
117,idle,,0a819684-ad0d-46f4-a0c1-b90c4a5f0b9e,2024-01-31T21:21:01.500000000,2024-01-31 21:08:50.500000000
189,idle,,f6c9b284-6548-4967-b209-7f78741663fa,2024-01-31T21:21:32.182660851,2024-01-31 21:09:03.182660851
166,idle,,f7e5957b-3aca-4ff1-af5a-0290e1432597,2024-01-31T21:40:28.265148862,2024-01-31 21:17:38.265148862
33,idle,,f8c6b093-f763-4272-9767-81a3357a4982,2024-01-31T21:39:27.621938232,2024-01-31 21:20:43.621938232
143,idle,,5585c512-9402-4128-be20-742c0ae421f1,2024-01-31T21:36:52.984092995,2024-01-31 21:16:15.984092995
